,seller_id,count_orders,count_products,sum_price_orders,count_orders_delivered,count_review_score_5,count_review_score_4,count_review_score_3,count_review_score_2,count_review_score_1,count_early_delivery,count_late_delivery
0,3442f8959a84dea7ee197c632cb2df15,3,3,218.7,3,1,0,1,0,1,2,1
1,d1b65fc7debc3361ea86b5f14c68d2e2,40,41,11703.07,39,29,8,1,0,2,37,3
2,ce3ad9de960102d0677a81f5d0bb7b2d,1,1,158.0,1,1,0,0,0,0,1,0
3,c0f3eea2e14555b6faeea3dd58c1b1c3,1,1,79.99,1,1,0,0,0,0,1,0
4,51a04a8a6bdcb23deccc82b0b80742cf,1,1,167.99,1,0,0,0,0,1,0,1
5,c240c4061717ac1806ae6ee72be3533b,1,1,59.9,1,0,1,0,0,0,1,0
6,e49c26c3edfa46d227d5121a6b6e4d37,35,36,3654.25,34,26,4,2,1,2,34,1
7,1b938a7ec6ac5061a66a3766e0e75f90,30,33,3987.6,29,18,9,0,0,3,28,2
8,768a86e36ad6aae3d03ee3c6433d61df,17,17,587.46,17,12,4,1,0,0,14,3
9,ccc4bbb5f32a6ab2b7066a4130f114e3,187,192,74004.62,184,122,35,8,6,16,170,17
10,8cb7c5ddf41f4d506eba76e9a4702a25,2,2,138.0,1,1,0,0,0,1,1,1
11,a7a9b880c49781da66651ccf4ba9ac38,3,4,307.6,3,0,2,1,0,0,3,0
12,8bd0f31cf0a614c658f6763bd02dea69,33,35,4455.34,33,21,5,3,0,4,32,1
13,05a48cc8859962767935ab9087417fbb,1,1,42.9,1,1,0,0,0,0,1,0
14,7b8e8ec35bad4b0ef7e3963650b0a87b,5,5,2244.28,5,4,1,0,0,0,4,1
15,1444c08e64d55fb3c25f0f09c07ffcf2,1,1,2749.0,1,0,0,0,0,1,1,0
16,166e8f1381e09651983c38b1f6f91c11,2,2,78.8,2,2,0,0,0,0,2,0
17,e38db885400cd35c71dfd162f2c1dbcf,30,32,2066.8,30,22,4,2,0,2,25,5
18,d2e753bb80b7d4faa77483ed00edc8ca,14,15,1320.7,14,3,6,4,1,1,13,1
19,f9ec7093df3a7b346b7bcf7864069ca3,9,9,519.2,9,8,0,1,0,0,8,1
20,4e6015589b781adaa5ce7f1892d06bb1,3,3,684.0,3,0,2,1,0,0,3,0
21,4cf490a58259286ada5ba8525ba9e84a,8,8,1254.2,7,3,1,1,0,3,7,1
22,f7496d659ca9fdaf323c0aae84176632,26,27,5087.57,25,21,2,1,1,1,23,3
23,2ff97219cb8622eaf3cd89b7d9c09824,89,96,4476.9,87,60,21,5,1,2,80,9
24,8bd0e3abda539b9479c4b44a691be1ec,7,13,596.55,6,2,1,1,0,4,4,3
25,2a1348e9addc1af5aaa619b1a3679d6b,52,55,2843.0,48,17,9,6,1,19,34,18
26,2078fe5066350e7d220c0ad3a3bbc6c1,1,1,29.9,0,0,0,0,1,0,0,1
27,116ccb1a1604bc88e4d234a8c23f33de,61,73,2004.89,61,49,6,4,0,2,56,5
28,430315b7bb4b6e4b3c978f9dfa9b0558,20,21,3118.4,19,12,2,1,0,5,17,3
29,406822777a0b9eb5c50e442dd4cd3ec5,45,47,3648.08,44,29,6,5,1,4,37,8
30,4dbd95a08b31ede5c82d3f861cb1ce1a,6,6,1304.67,4,3,1,0,0,2,4,2
31,e9e446d01bd10a97a8ffcfc4a3a20cb2,4,4,60.05,3,2,0,1,0,1,3,1
32,d52cbce9845184537284a23c3bc3da0e,2,4,75.0,2,2,0,0,0,0,2,0
33,d9a84e1403de8da0c3aa531d6d108ba6,54,59,1425.2,53,41,7,2,1,3,49,5
34,9c690ceacd5c66731bf443ea810195cb,10,12,871.8,10,7,1,1,0,1,10,0
35,1f9ab4708f3056ede07124aad39a2554,78,79,13602.73,76,34,24,14,3,3,72,6
36,1961c3e1272bfeceb05d0b78b5bbfdaf,3,4,896.0,2,1,1,0,0,1,2,1
37,d3e7d37c0df9aef383f3f2a15b0dddfb,1,1,161.0,1,1,0,0,0,0,1,0
38,ec2e006556300a79a5a91e4876ab3a56,4,8,125.2,2,0,0,0,1,3,1,3
39,b2a6d334e2833acea353624840e25a0e,25,26,1650.98,25,19,3,1,0,2,24,1
40,d3674f271c91f824f82d24d92011f669,20,20,1718.3,20,13,2,2,0,3,18,2
41,768de2a4fc06aacecb9a586ccc30746a,14,14,475.6,13,10,2,1,0,1,13,1
42,a81466620e46a6970b22ef40379fdfc9,2,2,321.8,2,2,0,0,0,0,2,0
43,5c030029b5916fed0986310385ec9009,7,10,4164.4,7,6,1,0,0,0,7,0
44,c0f783394e37cd9c9d7f5f81141450fa,6,6,249.4,6,1,3,0,0,2,6,0
45,c353f8fc0ce8344999f17d578eb69a5e,2,2,175.98,2,2,0,0,0,0,2,0
46,8444e55c1f13cd5c179851e5ca5ebd00,99,109,22873.21,92,36,20,8,4,31,85,14
47,28a26ebce31d5918b181ede016fd693b,1,1,29.9,1,1,0,0,0,0,1,0
48,41ab63a91b8b264e8c8780368bf1dd5b,12,13,2571.95,12,8,2,0,1,1,12,0
49,8759e7aedd644f487315e5860962f162,3,3,627.0,3,2,0,0,0,1,2,1
50,e546117ed9cafbc40239c0c78635c584,2,2,456.0,2,1,1,0,0,0,2,0
51,d71d863e5ef30d94e440c11be17dcd8f,29,36,11900.9,23,10,1,3,2,13,20,9
52,0c7533c71df861ec58ad7ff999ed0e8d,61,73,2989.3,61,37,12,3,2,8,58,3
53,ef990a83bbea832f36ebe81376335aa8,43,44,4642.59,43,19,10,3,1,10,32,11
54,41e0fa5761c886a630994a55c12087e7,5,5,423.6,5,5,0,0,0,0,5,0
55,0747d5bb69f0586cc869d8af4c50f93e,14,15,346.6,12,6,2,1,1,4,11,3
56,7d294cf9a6a69dc6a0c3e540fff0e039,5,5,257.25,5,3,1,1,0,0,5,0
57,c89cf7c468a48af70aada384e722f9e2,14,14,745.0,14,6,4,1,1,2,13,1
58,b7ba853e9551f4558440881fd3e5c815,2,2,376.8,1,0,0,0,0,2,1,1
59,13c2ed7698b3ca92dad49e849219da59,8,9,498.61,8,6,1,0,0,1,8,0
60,cbbd5ae8f53de5f5097cd8217b529e24,2,2,351.8,1,0,1,0,0,1,1,1
61,02ecc2a19303f05e59ce133fd923fff7,21,24,5264.19,21,17,1,2,1,0,21,0
62,c013e57c075a06e5b5c48ee03c525719,42,45,1971.55,42,25,7,6,3,1,38,4
63,55f7a3319d80f7fdf078b8f03e6725fe,22,22,3013.78,22,9,6,3,1,3,20,2
64,2d50d6282f8aa2257819a77bfaa0efe0,44,45,3353.48,42,20,9,5,2,8,35,9
65,b7e1750c1157341d2abd0251e07c186b,3,4,159.6,3,2,0,1,0,0,3,0
66,b90e891671cffd9557f33a97dc523645,34,39,4449.0,34,23,4,4,1,2,34,0
67,a416b6a846a11724393025641d4edd5e,162,181,25670.72,157,109,15,13,4,22,136,26
68,7e93a43ef30c4f03f38b393420bc753a,336,340,176431.87,319,211,59,25,6,35,299,37
69,5206cc4bc2297c833e6061c49bf9c43f,1,1,35.0,0,0,0,0,0,1,0,1
70,f410c8873029fcc3809b9df6d0b28914,2,2,289.8,2,2,0,0,0,0,2,0
71,ef506c96320abeedfb894c34db06f478,324,340,9771.43,316,167,59,42,19,38,286,38
72,a13aaf2d2886ab9fb30fb9a920160b8f,4,4,1011.52,4,2,2,0,0,0,3,1
73,7299e27ed73d2ad986de7f7c77d919fa,338,361,34725.43,335,229,61,25,7,16,318,20
74,8a9260f2b0340411d6d2a56bcf4f7378,8,9,1256.0,8,6,2,0,0,0,7,1
75,dedcab67899479e4ea5dcc4eba47f587,2,2,84.0,2,1,1,0,0,0,2,0
76,b2479f944e1b90cf8a5de1bbfde284d6,103,131,4752.51,101,44,18,11,5,28,83,20
77,7722b1df1b0e383e000397b2c11e3e19,134,145,7094.09,133,79,28,11,7,9,126,8
78,731ef20c231d9a7103a425e83fd91271,2,3,1692.0,2,0,1,1,0,0,2,0
79,78813699ffac347fe27dba345a5f1551,1,1,152.42,1,1,0,0,0,0,1,0
80,3296662b1331dea51e744505065ae889,1,1,517.8,1,1,0,0,0,0,1,0
81,411f3b52d857390502ee4e4d5ceabc2d,21,30,1804.01,21,11,5,1,0,4,16,5
82,bba3293d6f5d5af2f415e004e8b93ae3,17,17,11702.1,17,12,2,1,0,2,16,1
83,4e7c18b98d84e05cbae3ff0ff03846c2,82,89,9177.9,81,57,8,4,6,9,75,7
84,b56906f7fd1696e043f1bcce164c487b,40,42,2148.49,40,24,5,3,3,5,38,2
85,d650b663c3b5f6fb392b6326366efa9a,60,60,19242.9,57,38,8,7,2,5,51,9
86,669ae81880e08f269a64487cfb287169,162,186,13248.87,161,101,35,6,4,17,152,10
87,c2d70ce2c5d0a2eb75e78668236e6dc8,13,15,2470.9,13,9,3,1,0,0,13,0
88,674207551483fec113276b67b0d871ff,1,1,119.9,1,1,0,0,0,0,1,0
89,abe42c5d03695b4257b5c6cbf4e6784e,50,50,17159.0,49,26,9,5,3,7,41,9
90,1996942dc085d7773ba77a529b163cd0,10,10,2943.51,9,5,3,0,0,2,9,1
91,79b93a308a97792cf53ac75f46da00b5,1,1,99.9,1,1,0,0,0,0,1,0
92,7cf4ea70955b00d6b3c22542598e2715,1,1,189.9,1,1,0,0,0,0,1,0
93,63ffcb71394dd8ea3872ed9ffda17c74,17,17,399.0,17,5,3,4,0,5,16,1
94,83353a83fd769dfafa4f21a72b15e3e5,5,5,579.5,5,3,0,1,0,1,4,1
95,cda598c48d7c614bc1cad7d8ff6f0010,17,18,1118.6,17,8,3,5,1,0,17,0
96,d4910f1cdcfdabd48d6b316e395d4a23,11,12,1146.88,11,10,1,0,0,0,10,1
97,709e16e2b25c7474d980076c6bfc4806,60,80,5151.9,60,40,13,6,0,1,58,2
98,9dc79dd988ac42f4d56c340d7048420a,4,4,749.6,4,3,1,0,0,0,3,1
99,276677b5d08786d5dce7c2149dcce48b,33,47,3522.0,31,18,6,2,2,5,28,5
100,9c4d31c7e46ab03a43fc06e3142afd4e,2,2,1218.9,2,1,1,0,0,0,2,0
101,512d298ac2a96d1931b6bd30aa21f61d,11,12,7401.94,11,8,1,0,1,1,11,0
102,422be4cc81a457fdb46f47edeb968ae5,1,1,239.9,1,1,0,0,0,0,1,0
103,99cd94252748d2bdde08e17858233602,2,2,159.8,2,1,1,0,0,0,2,0
104,698624c6632eeba1774924dbea24c700,1,1,19.9,1,1,0,0,0,0,1,0
105,8bb48dc19fccaa8613b6229bf7f452a2,82,95,4190.72,82,56,18,2,2,5,79,3
106,ad87df7699e83b8a91822a4a0b765c3a,6,7,349.9,5,2,1,3,0,0,5,1
107,d6b664fa0667064c6d76394e7848d790,6,6,6080.0,6,5,1,0,0,0,5,1
108,98f52e1020fe788c10c0418de4393fec,1,1,21.6,1,0,1,0,0,0,1,0
109,62760d278921b5f352461620d68a9cee,3,3,397.0,3,2,0,0,0,1,2,1
110,eb72802c83dc7547529c9546d1a9b8ef,8,8,1063.92,8,7,0,0,1,0,8,0
111,3f9be91358837bff69df67edfa3e42e8,7,7,569.7,7,6,0,0,0,1,7,0
112,1d4587203296c8f4ad134dc286fa6db0,42,43,2323.3,40,25,11,2,1,3,37,5
113,791cfcfe22fe4a771ece27f90017da92,2,2,596.26,1,0,0,0,1,1,0,2
114,392f7f2c797e4dc077e4311bde2ab8ce,2,2,52.0,2,2,0,0,0,0,2,0
115,0c8380b62e38e8a1e6adbeba7eb9688c,182,220,17348.79,180,99,37,21,8,19,169,13
116,37be5a7c751166fbc5f8ccba4119e043,272,281,55350.55,269,166,68,16,10,17,260,12
117,87d73636a3acf123e842bb890a4db036,1,1,269.9,1,1,0,0,0,0,1,0
118,3d3ccf2b2f8134b10dce9dd446f0e075,3,3,608.6,3,1,1,0,0,1,2,1
119,e24d3429d294b2eb200b064ebb035879,19,22,1878.58,19,12,4,1,0,2,18,1
120,44073f8b7e41514de3b7815dd0237f4f,144,153,18729.64,142,68,25,22,5,24,137,7
121,05ca864204d09595ae591b93ea9cf93d,1,1,179.9,1,1,0,0,0,0,0,1
122,9d39404483343dd55c7ae254494d8388,10,10,293.2,10,5,1,1,0,3,9,1
123,f9eda05b67bef472deaddbba84aca289,1,1,185.0,0,0,0,0,0,1,0,1
124,75745ef7bc7d4f3ea3380f6f5303f514,3,3,228.4,3,3,0,0,0,0,3,0
125,0692610d8abe24f287e9fae90ea0bbee,4,4,173.99,4,1,2,1,0,0,3,1
126,7b07b3c7487f0ea825fc6df75abd658b,93,98,9731.85,91,66,11,5,5,6,87,6
127,99002261c568a84cce14d43fcffb43ea,36,36,4088.0,36,15,7,8,1,5,32,4
128,e5899683388855d3dabe8913bbe365de,3,3,452.88,3,1,1,1,0,0,3,0
129,784ba75dd9d20200c4caed3d7a77141a,21,24,8295.13,19,11,6,0,1,4,17,4
130,099095b050cfe8eb1ddff5317587e96e,17,20,5193.83,16,8,1,1,1,6,13,4
131,0ad80de75c811326389cfb1daba7d45e,6,6,1449.4,6,5,1,0,0,0,6,0
132,b9a03475e6447e631b6799ec8274800f,10,11,1349.1,10,6,2,1,0,1,10,0
133,ba6b4a237f92479743cf0ca06b67a9ac,8,8,801.89,8,6,0,1,0,1,7,1
134,ea00f977a203ff88adf7057cb7806998,19,19,389.72,18,10,5,2,0,2,16,3
135,82e0a475a88cc9595229d8029273f045,42,80,10930.02,41,21,7,2,2,12,36,6
136,ad75519a07f039025e83795a4418470f,3,9,302.1,3,1,1,0,1,0,3,0
137,34aefe746cd81b7f3b23253ea28bef39,1,1,8.0,0,0,0,0,0,1,0,1
138,ed4acab38528488b65a9a9c603ff024a,32,40,12759.45,32,14,6,5,3,4,30,2
139,f0837c8d71434931d9e38e7b79234797,22,23,3446.9,22,17,3,3,0,0,21,1
140,fce62094ffe6a4009188ec44e681dfdd,4,11,2969.7,4,3,0,0,0,1,3,1
141,ebef8d8c92b4fd3226e5d407bbff21ac,3,3,253.7,3,0,1,1,0,1,2,1
142,d73cbd89533ce8b041a9190241453ac8,4,4,368.6,3,2,0,1,0,1,3,1
143,75a4764c108403a7a0575140cb22287c,5,9,716.9,5,3,2,0,0,0,5,0
144,70c0fda4c313d87115644d39e62eec60,1,1,25.99,1,1,0,0,0,0,1,0
145,ffcfefa19b08742c5d315f2791395ee5,1,1,69.9,0,0,0,0,0,1,0,1
146,26e13b6ff5b641b329e5524241ee2c93,4,4,119.7,4,3,0,0,0,1,4,0
147,0ade5cc4a305ed7093a23f68ca47519c,2,2,158.88,2,2,0,0,0,0,2,0
148,fc59392d66ef99377e50356ee4f3b4e1,5,5,519.99,5,2,1,0,2,0,5,0
149,b18dc380845b24038cfc48006478f099,44,54,8353.3,43,26,7,5,0,6,36,8
150,f22a247b79dd22ecd91dc8e3b2a1b07c,8,8,439.94,8,3,4,0,0,1,5,3
151,889009a0ed0bb52c87819941192931b8,1,1,89.9,1,0,1,0,0,0,1,0
152,ffc470761de7d0232558ba5e786e57b7,28,31,1649.01,27,19,3,4,1,1,24,4
153,4c498c7345e89aebad651544829beca0,48,48,4819.76,47,30,9,5,1,3,41,7
154,01bcc9d254a0143f0ce9791b960b2a47,11,11,1521.21,10,5,4,1,0,1,10,1
155,f021c962aaba8ef6eb527a9c2c8394d1,5,5,4398.5,5,4,0,0,0,1,5,0
156,024b564ae893ce8e9bfa02c10a401ece,2,8,706.4,2,1,1,0,0,0,2,0
157,a513150f33f99a06569e9cd5c4bb889b,2,2,677.0,2,1,2,0,0,0,2,0
158,c1dde11f12d05c478f5de2d7319ad3b2,1,1,12.5,1,0,0,0,0,1,1,0
159,02f5837340d7eb4f653d676c7256523a,30,30,3883.05,30,28,1,0,0,1,29,1
160,7b98de631987e26dd6d803490c43a13c,8,8,634.2,8,5,3,0,0,0,8,0
161,f12ff17ad8bbf01ec5c33b17e506649b,29,29,6241.0,28,13,6,6,0,4,25,4
162,a64e44665225d19dfc0277eeeaaccc57,6,6,335.0,6,6,0,0,0,0,5,1
163,6a8a889bde935bafa76d7848782dfaf9,26,30,860.82,26,12,9,2,0,3,24,2
164,42b6488f5b8246d9141712abd4b1b693,2,2,247.99,2,1,0,1,0,0,2,0
165,d6cd01c59123df02fc226eadbadb5f89,2,3,244.9,1,1,0,0,0,1,1,1
166,c8e135e7b21ecbc36c1153a29d2f5a06,7,7,1165.5,7,6,1,0,0,0,7,0
167,229c3efbfb0ea2058de4ccdfbc3d784a,121,148,15744.0,118,50,30,10,5,26,115,6
168,f9a02f1922d1de564392e656d82b3fda,1,1,125.9,0,0,1,0,0,0,0,1
169,9523fb39dd240aa958e040f8183d64f3,1,1,146.99,1,0,0,0,0,1,1,0
170,95ec4458365c4d11f452ccf538377619,27,31,1866.76,27,20,6,0,0,1,26,1
171,6ec1a01e866584bb679eb9b098345919,31,32,4248.91,30,21,2,2,0,6,24,7
172,f6122bc84774df1b372bdb3bb88ddb9f,3,3,4799.87,3,2,0,0,0,1,2,1
173,fa40cc5b934574b62717c68f3d678b6d,307,340,16055.87,304,224,39,19,10,16,285,22
174,623ad9d0c1e14bb5464a8c72bff7b4af,1,1,95.0,1,0,1,0,0,0,0,1
175,c0098efcf800861dcae589affca31408,9,9,1189.28,9,7,2,0,0,0,8,1
176,a63bfbaa882c8f4542891b4e2246cc7f,7,7,6772.0,6,6,0,0,0,1,5,2
177,48b6c3f4c6a93171da04b75313f2130f,2,2,290.26,2,2,0,0,0,0,2,0
178,270d3ef21830ad0ecf3a6c53d08a533a,6,18,509.0,5,1,0,2,0,3,5,1
